X_pixels,Y_pixels
0,0
-2,1
1,0
-0,-1
-8,-1
-10,2
-8,0
-8,-1
-11,-2
-13,-1
-16,-3
-13,-1
-11,0
-9,-1
-9,-1
-9,-1
-7,-1
-10,-3
-1,-4
-0,-8
0,-3
-2,-6
-4,-5
-8,-5
-12,-3
-16,-4
-14,-2
-13,-2
-15,-2
-19,2
-19,1
-20,-6
-21,-7
-21,-6
-21,-8
-19,-15
-21,-11
-24,-9
-25,-15
-26,-10
-24,-12
-28,-10
-28,-13
-27,-14
-20,-12
-14,-10
-12,-9
-11,-5
-10,0
-9,3
-12,4
-11,3
-9,3
-8,2
-7,5
-7,0
-6,-7
-4,-10
-3,-6
-3,-8
-1,-7
2,-9
4,-13
7,-9
6,-10
3,-4
3,-1
2,0
-1,-3
1,-5
-3,-10
-3,-6
-4,-0
-5,-2
3,7
6,6
-3,6
0,9
2,7
0,13
5,13
2,15
1,15
-1,15
-3,16
-2,19
-2,17
-8,15
-7,19
-6,19
