Subject,Background,Gain,GroupCt_Videos,D_World,Alpha_World,D_Perceived
20237,1,-1.5,23,14.3772400308016,1.38967271513394,1.15419325575
20237,1,-1.5,16,13.3229780223528,1.34475755905121,4.8025001325
20237,1,-1.5,22,11.0592320280934,1.35331463851082,1.83267663675
20237,1,-1.5,19,16.2322200613107,1.45120857265831,0.65587129425
20237,1,-1.5,29,9.50009310220423,1.33367415744795,2.7432480625
20237,1,-1.5,17,8.5399225143132,1.3233368997646,1.1031842205
20237,2,-1.5,33,35.541783890609,1.61701029314936,19.071561005
20237,2,-1.5,13,40.1545254496917,1.62279806125712,9.1905724
20237,2,-1.5,30,54.8144302578505,1.6596019113047,7.7093353825
20237,2,-1.5,17,52.6225757731115,1.6813461547272,11.0944285025
20237,2,-1.5,9,58.8898658800227,1.70377222209272,3.60892024
20237,2,-1.5,16,66.824839788384,1.69815201690115,17.0637132225
20237,1,0,7,0,0,0
20237,1,0,5,0,0,0
20237,1,0,7,0,0,0
20237,1,0,5,0,0,0
20237,1,0,8,0,0,0
20237,1,0,11,0,0,0
20237,2,0,7,0,0,0
20237,2,0,9,0,0,1.05681968625
20237,2,0,7,0,0,0
20237,2,0,4,0,0,1.907798848
20237,2,0,5,0,0,0
20237,2,0,6,0,0,0
20237,1,1.5,10,15.6374152650416,1.44920176105825,4.8433597925
20237,1,1.5,19,17.3846641797178,1.44369419012189,6.0112322625
20237,1,1.5,9,10.0866148672449,1.37116421776182,2.744683455
20237,1,1.5,16,14.7212894825506,1.41750067506934,4.7826076575
20237,1,1.5,13,10.59437548049,1.36913443872235,3.55040107
20237,1,1.5,20,8.92282345879078,1.3442316992803,2.7111814475
20237,2,1.5,16,24.0892965227028,1.55077166994225,1.75513001275
20237,2,1.5,29,52.180589004429,1.66602677693334,6.0805709825
20237,2,1.5,10,105.961818760928,1.74222333263658,0.5873439115
20237,2,1.5,13,109.464611245995,1.75055443988537,2.7839435875
20237,2,1.5,23,55.7593290511003,1.67298187998031,0
20237,2,1.5,8,94.809241450149,1.76055439914221,1.77543051625
