X,Y
0,-0
-0.252927400468373,-0.342857142857144
-0.421545667447301,-0.6
-0.646370023419191,-1.14285714285714
-0.983606557377051,-1.68571428571429
-1.03981264637001,-2.05714285714286
-0.983606557377051,-2.2
-0.955503512880568,-2.34285714285714
-0.899297423887585,-2.54285714285714
-0.899297423887585,-2.74285714285714
-1.18032786885246,-3
-1.48946135831381,-3.54285714285714
-1.9672131147541,-3.74285714285714
-2.16393442622951,-4.11428571428571
-2.3887587822014,-4.05714285714286
-2.52927400468385,-4.51428571428571
-2.86651053864168,-4.65714285714286
-2.86651053864168,-4.6
-3.20374707259952,-4.6
-3.31615925058549,-4.54285714285714
-3.85011709601873,-4.4
-3.99063231850116,-4.74285714285714
-4.15925058548009,-4.71428571428571
-4.38407494145198,-4.74285714285714
-4.38407494145198,-4.6
-4.52459016393443,-4.45714285714286
-4.7775175644028,-4.6
-4.83372365339578,-4.74285714285714
-4.94613583138173,-4.71428571428571
-5.03044496487119,-4.74285714285714
-5.08665105386418,-4.8
-5.2271662763466,-5.14285714285714
-5.08665105386418,-5.34285714285714
-5.50819672131147,-5.45714285714286
-5.480093676815,-5.54285714285714
-5.62060889929742,-5.8
-6.12646370023419,-5.94285714285714
-6.71662763466042,-6.14285714285714
-6.7447306791569,-6.54285714285714
-6.7447306791569,-6.51428571428571
-6.99765807962529,-6.94285714285714
-7.13817330210772,-7.2
-7.70023419203747,-7.34285714285714
-7.78454332552693,-7.4
-8.0655737704918,-7.65714285714285
