Subject,Background,Duration,TestD,TestAlpha,MatchedD,MatchedAlpha
10003,1,1500,58.0947502,1.5,24.3,1
10003,1,1500,4.8,1,2.65705937,0.7
10003,1,1500,84.32320648,1.7,84.32320648,1.7
10003,1,1500,24.49367808,1.2,16.875,1
10003,1,1500,3.162120243,0.7,3.711099453,0.7
10003,1,1500,1.792869335,0.9,1.075999249,0.7
10003,1,1500,14.7,1,28.9145444,1.1
10003,1,1500,58.0947502,1.5,58.0947502,1.5
10003,1,1500,4.8,1,3.711099453,0.7
10003,1,1500,84.32320648,1.7,70.29464773,1.5
10003,1,1500,24.49367808,1.2,19.2,1
10003,1,1500,3.162120243,0.7,8.334654345,1.2
10003,1,1500,1.792869335,0.9,0.3,1
10003,1,1500,14.7,1,14.58376316,0.8
10003,2,750,3.162120243,0.7,3.162120243,0.7
10003,2,750,4.8,1,4.980192598,0.9
10003,2,750,14.7,1,6.346199653,0.7
10003,2,750,1.792869335,0.9,13.77769392,1.2
10003,2,750,24.49367808,1.2,8.78366734,0.7
10003,2,750,58.0947502,1.5,55.5500246,1.4
10003,2,750,84.32320648,1.7,17.00949867,1.2
10003,2,750,58.0947502,1.5,46.67745123,1.4
10003,2,750,3.162120243,0.7,2.195916835,0.7
10003,2,750,14.7,1,7.927259775,0.7
10003,2,750,84.32320648,1.7,11.29474391,1.1
10003,2,750,24.49367808,1.2,16.875,1
10003,2,750,1.792869335,0.9,0.3,1
10003,2,750,4.8,1,3.162120243,0.7
